first_name,last_name,team,games_suspended,category,desc.,year,source
Virgil,Green,SD,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/7667289/denver-broncos-dj-williams-ryan-mcbean-virgil-green-suspended
Steve,Gregory,NYJ,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5648428
Cedric,Griffin,TEN,4,PEDs,,2012,http://espn.go.com/nfl/story/_/id/8709862/cedric-griffin-washington-redskins-suspended-four-games
Winston,Guy,BUF,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000098505/article/winston-guy-of-seahawks-suspended-for-illegal-substances
Joe,Haden,CLE,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000060490/article/joe-haden-of-cleveland-browns-suspended-four-games
Ahmard,Hall,TEN,4,PEDs,,2011,http://espn.go.com/nfl/story/_/id/6927311/tennessee-titans-ahmard-hall-suspended-4-games-nfl
Joselio,Hanson,PHI,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4645055
Brett,Hartmann,WAS,3,PEDs,,2012,http://profootballtalk.nbcsports.com/2012/05/22/hartmann-explains-his-three-game-suspension/
Joe,Hawley,ATL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000097773/article/joe-hawley-of-atlanta-falcons-suspended-four-games-by-nfl
Keith,Henderson,SF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
Chris,Henry,TEN,4,PEDs,,2007,http://www.utsandiego.com/sports/nfl/20080921-9999-1s21list.html
Will,Hill,NYG,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000078540/article/will-hill-suspended-by-nfl-for-violating-ped-policy
Andre,Holmes,OAK,4,PEDs,,2013,http://www.cbssports.com/nfl/eye-on-football/22915004/raiders-wr-andre-holmes-suspended-for-ped-violation
Bruce,Irvin,DET,4,PEDs,,2013,http://espn.go.com/nfl/story/_/id/9287069/bruce-irvin-seattle-seahawks-suspended-four-games
Asa,Jackson,BAL,4,PEDs,,2012,http://www.nfl.com/news/story/0ap1000000225102/article/ravens-asa-jackson-banned-8-games-for-violating-ped-policy
Robert,James,ATL,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5364259
Matt,Jaworski,BUF,4,PEDs,,1989,http://www.nytimes.com/1989/08/30/sports/nfl-bans-15-for-drugs-or-steroids.html
Jarvis,Jenkins,WAS,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000221583/article/redskins-jarvis-jenkins-suspended-4-games-for-peds
Travis,Jervey,SF,4,PEDs,,1999,http://www.sfgate.com/sports/article/49ers-Notebook-Jervey-Suspended-for-Steroid-Use-2901850.php
Lane,Johnson,KC,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000367649/article/eagles-lane-johnson-suspended-four-games-for-peds
Dion,Jordan,MIA,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000363402/article/dion-jordan-suspended-four-games-for-ped-violation
Jimmy,Kennedy,NYG,4,PEDs,,2011,http://espn.go.com/new-york/nfl/story/_/id/7089792/new-york-giants-dt-jimmy-kennedy-suspended-nfl
